day,version,system,python_version,installer,downloads
2025-06-18,1.0.0,Windows,3.12.7,pip,2
2025-06-18,1.0.0,Windows,3.12.2,pip,2
2025-06-16,1.0.0,Linux,3.10.18,pip,2
2025-06-13,1.0.0,Linux,3.11.11,pip,2
2025-06-13,1.0.0,Darwin,3.10.11,pip,2
2025-06-13,1.0.0,Linux,3.10.17,pip,1
2025-06-13,1.0.0,Linux,3.12.3,pip,2
2025-06-10,1.0.0,Windows,3.13.0,pip,2
2025-06-08,1.0.0,Windows,3.12.6,pip,2
2025-06-07,1.0.0,Windows,3.11.7,pip,2
2025-06-06,1.0.0,Linux,3.12.8,pip,2
2025-06-06,1.0.0,Darwin,3.12.4,pip,2
2025-05-30,1.0.0,Windows,3.13.3,pip,2
2025-05-29,1.0.0,Windows,3.10.0,pip,1
2025-05-25,0.9.2,Linux,3.9.16,pip,1
2025-05-24,1.0.0,Darwin,3.13.3,pip,2
2025-05-24,1.0.0,Windows,3.13.0,pip,2
2025-05-21,1.0.0,Darwin,3.13.3,pip,2
2025-05-21,1.0.0,Linux,3.13.3,uv,2
2025-05-20,1.0.0,Windows,3.12.7,pip,2
2025-05-19,1.0.0,Windows,3.9.7,pip,2
2025-05-18,1.0.0,Windows,3.12.7,pip,2
2025-05-15,1.0.0,Windows,3.8.10,pip,2
2025-05-15,1.0.0,Windows,3.12.10,pip,2
2025-05-12,1.0.0,Windows,3.12.0,pip,2
2025-05-11,1.0.0,Linux,3.10.17,pip,2
2025-05-10,1.0.0,Windows,3.12.4,pip,2
2025-05-09,1.0.0,Linux,3.12.3,pip,2
2025-05-09,1.0.0,Windows,3.13.2,pip,3
2025-05-07,1.0.0,Darwin,3.9.0,pip,2
2025-04-30,1.0.0,Windows,3.12.1,pip,2
2025-04-29,1.0.0,Windows,3.12.6,pip,2
2025-04-29,1.0.0,Windows,3.11.9,uv,2
2025-04-29,1.0.0,Linux,3.12.3,pip,2
2025-04-29,1.0.0,Windows,3.13.3,pip,2
2025-04-28,1.0.0,Linux,3.11.11,pip,2
2025-04-25,1.0.0,Linux,3.11.11,pip,12
2025-04-25,1.0.0,Linux,3.10.17,pip,2
2025-04-24,0.9.2,Linux,3.7.4,pip,1
2025-04-23,1.0.0,Windows,3.11.9,pip,2
2025-04-18,1.0.0,Windows,3.12.7,pip,2
2025-04-17,1.0.0,Windows,3.10.11,pip,1
2025-04-15,1.0.0,Windows,3.11.9,pip,1
2025-04-15,0.9.2,Windows,3.11.5,pip,1
2025-04-13,1.0.0,Windows,3.13.3,pip,2
2025-04-13,1.0.0,Windows,3.12.0,pip,2
2025-04-13,0.9.2,Windows,3.7.0,pip,1
2025-04-11,1.0.0,Linux,3.13.1,pip,1
2025-04-11,1.0.0,Linux,3.10.12,pip,2
2025-04-10,1.0.0,Windows,3.11.9,pip,2
2025-04-10,1.0.0,Linux,3.9.22,pip,1
2025-04-10,1.0.0,Linux,3.13.2,pip,2
2025-04-10,1.0.0,Linux,3.12.2,pip,10
2025-04-10,1.0.0,Linux,3.11.11,pip,6
2025-04-09,1.0.0,Linux,3.12.2,pip,12
2025-04-09,0.9.2,Linux,3.13.2,pip,1
2025-04-08,0.9.2,Linux,3.10.6,pip,1
2025-04-06,0.9.2,Linux,3.7.4,pip,1
2025-04-05,0.9.2,Windows,2.7.15,pip,1
2025-04-04,1.0.0,Darwin,3.11.11,pip,2
2025-04-03,0.9.2,Linux,3.12.9,pip,1
2025-04-02,1.0.0,Windows,3.11.9,pip,2
2025-03-31,1.0.0,Windows,3.12.1,pip,2
2025-03-27,1.0.0,Windows,3.9.0,pip,1
2025-03-27,1.0.0,Linux,3.12.9,uv,2
2025-03-26,1.0.0,Linux,3.10.12,pip,1
2025-03-26,0.9.2,Darwin,3.9.6,pip,1
2025-03-25,1.0.0,Linux,3.11.11,pip,2
2025-03-25,1.0.0,Darwin,3.11.11,pip,2
2025-03-22,0.9.2,Linux,3.7.4,pip,1
2025-03-19,1.0.0,Windows,3.12.9,pip,2
2025-03-19,1.0.0,Linux,3.10.12,pip,2
2025-03-19,1.0.0,Darwin,3.13.2,pip,2
2025-03-18,1.0.0,Darwin,3.12.9,pip,2
2025-03-18,1.0.0,Linux,3.13.2,uv,2
2025-03-17,0.9.2,Linux,3.13.2,pip,1
2025-03-16,0.9.2,Linux,3.13.2,pip,4
2025-03-14,1.0.0,Darwin,3.9.18,pip,2
2025-03-14,0.9.2,Linux,3.13.2,pip,1
2025-03-12,0.9.2,Linux,3.13.2,pip,2
2025-03-06,1.0.0,Linux,3.10.16,pip,2
2025-03-05,1.0.0,Linux,3.9.18,pip,2
2025-03-05,0.9.2,Linux,3.13.2,pip,1
2025-03-04,1.0.0,Darwin,3.12.9,pip,2
2025-03-03,1.0.0,Windows,3.9.13,pip,1
2025-03-01,1.0.0,Windows,3.12.8,pip,2
2025-02-28,1.0.0,Linux,3.10.12,pip,1
2025-02-27,0.9.2,Linux,3.13.2,pip,1
2025-02-25,0.9.2,Linux,3.13.2,pip,1
2025-02-23,1.0.0,Linux,3.11.4,pip,1
2025-02-23,0.9.2,Linux,3.13.2,pip,3
2025-02-22,1.0.0,Linux,3.11.11,pip,2
2025-02-20,0.9.2,Windows,3.7.0,pip,1
2025-02-20,0.9.2,Linux,3.8.10,pip,1
2025-02-20,0.8.9,Linux,3.8.10,pip,1
2025-02-20,0.8.7,Linux,3.8.10,pip,1
2025-02-20,0.8.4,Linux,3.8.10,pip,1
2025-02-20,0.8.2,Linux,3.8.10,pip,1
2025-02-19,1.0.0,Windows,3.13.1,pip,2
2025-02-17,1.0.0,Windows,3.12.4,pip,2
2025-02-16,0.9.2,Darwin,3.12.4,pip,1
2025-02-15,0.9.2,Windows,3.11.0,pip,1
2025-02-13,1.0.0,Darwin,3.12.8,pip,2
2025-02-13,0.9.2,Linux,3.13.2,pip,2
2025-02-12,1.0.0,Windows,3.11.8,pip,2
